DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
5; Ant%ioqUia;5001;Mede&l'lín;350,6666228;2634570;1,6;Región Eje Cafetero 
5; Ant%ioquia;5002; Abej!&orr*al ;497,5662125;21622;56,7;Región Eje Cafetero 
5;Ant%ioquia;5004;A?br'&iaquí ;287,641603;2872;64,2;Región Eje Cafetero 
5; Ant%io>qUia;5021;Alej#andr&'ía;119,4676832;4989;40,7;Región Eje Cafetero 
5; Antioquia;5030;Am#a?&'*gá;89,24590345;32628;47,4;Región Eje Cafetero 
5;AntioqUia;5031;Am?al#'*fi;1301,657433;28059;39,1;Región Eje Cafetero 
5; AntioqUia;5034;   Andes*!   ;367,837127;46485;47,6;Región Eje Cafetero 
5;Ant%ioquia   ;5036;  &# Angelópoli?s   ;74,20409971;6183;55,7;Región Eje Cafetero 
5;Antioq>Uia;5038;Ang#'ostura;355,2864778;12190;71,8;Región Eje Cafetero 
5;Ant%ioquia ;5040; An*'#?orí;1462,812162;19812;52,2;Región Eje Cafetero 
5; Antioquia;5042; San'!tafé de Antioqu&*ia ;519,2247522;28246;32,1;Región Eje Cafetero 
5;Ant%ioquia   ;5044; !An*?&za;278,1728633;7537;76,2;Región Eje Cafetero 
5;Antioq>uia   ;5045; A?pa&r't#adó;525,5245201;132328;14,7;Región Eje Cafetero 
5;Antioq>Uia   ;5051;   Arbo&le!'tes   ;693,8736655;32478;61,1;Región Eje Cafetero 
5; Ant%ioqUia ;5055;  # Argel!&ia;249,9491176;8075;49;Región Eje Cafetero 
5;Antioquia;5059; Arme'ni!a ;120,7151404;5450;60,6;Región Eje Cafetero 
5;Ant%ioq>uia;5079;Bar#b*?&osa;200,1489221;56505;51,8;Región Eje Cafetero 
5; Ant%ioquia;5086; &B'elmi!ra;269,3555979;6436;67,5;Región Eje Cafetero 
5;Ant%ioquia ;5088;   B'el&lo;141,1165375;570329;2,6;Región Eje Cafetero 
5;Antioquia ;5091; '#  &Beta!?nia;176,3778624;10985;59,5;Región Eje Cafetero 
5;   Ant%ioqUia   ;5093;Betulia;244,0263382;16722;66,6;Región Eje Cafetero 
5;Ant%ioqUia;5101; Ciudad? Bolívar;243,896627;27884;35,1;Región Eje Cafetero 
5;Ant%ioqUia;5107; Briceño ;396,4767192;8599;61,3;Región Eje Cafetero 
5;Ant%ioquia   ;5113;B'*ur!iticá ;325,5873502;10105;70,3;Región Eje Cafetero 
5; AntioqUia;5120; '  !C*áceres;1822,446793;31368;75,7;Región Eje Cafetero 
5;AntioqUia;5125;C#?&aicedo;203,9933711;8938;74,1;Región Eje Cafetero 
5;Antioquia;5129;  # C!a*?ldas;126,7237842;86667;17,6;Región Eje Cafetero 
5;Ant%io>quia;5134;C'am#p*a&mento ;209,8286868;9839;66,4;Región Eje Cafetero 
5;AntioqUia ;5138;   Ca&ñasgord?as;351,0900098;16487;61,4;Región Eje Cafetero 
5;Antioq>Uia;5142;   Car&'aco?lí;274,7630084;4850;35,2;Región Eje Cafetero 
5;Ant%io>qUia   ;5145;Caram&ant*a   ;99,23280597;4973;48,7;Región Eje Cafetero 
5;Antioquia   ;5147;  ? #Ca!re*pa;357,4791633;52540;25,1;Región Eje Cafetero 
5;   Antioquia   ;5148;El  # Carmen   de   Vibora*l   ;457,916645;64717;37,4;Región Eje Cafetero 
5;Antioq>Uia ;5150;   Ca!?rolin#'a   ;163,5321092;4242;21,7;Región Eje Cafetero 
5;Antioquia   ;5154;   'C?*aucas#ia;1525,438642;98488;10,3;Región Eje Cafetero 
5;Antioq>uia;5172;   Chigorodó   ;685,6840219;62675;14,2;Región Eje Cafetero 
5;AntioqUia;5190;Ci&sne#ros;46,11371184;10495;10,9;Región Eje Cafetero 
5;   Antioq>uia   ;5197; Coc'o!rná;233,5491025;16686;50,8;Región Eje Cafetero 
5;AntioqUia   ;5206; &'Concepc#ión ;221,0420508;5093;52,9;Región Eje Cafetero 
5;Ant%ioq>uia ;5209; C!oncordia;227,1495532;22905;60,1;Región Eje Cafetero 
5;   Ant%ioquia   ;5212;Copac#a'?ba!*&na;66,86297769;84787;16,6;Región Eje Cafetero 
5;Ant%ioquia;5234;Dab&eib!a   ;1996,030837;24765;55,7;Región Eje Cafetero 
5;AntioqUia ;5237;  ? #Don   Matías   ;214,5382784;20498;31,4;Región Eje Cafetero 
5;   Antioq>uia;5240; '?!Ebéj&ico;249,3062948;12914;75,5;Región Eje Cafetero 
5;Ant%ioq>Uia   ;5250;E!l 'Bagre;1648,638009;56681;32,2;Región Eje Cafetero 
5;Antioq>Uia ;5264; Entrer!ri'o*s ;193,712876;12158;44;Región Eje Cafetero 
5;Ant%ioquia ;5266;E'nvigado;79,05070678;250012;3;Región Eje Cafetero 
5; Antioquia;5282;F#redonia;232,9502047;26163;61,9;Región Eje Cafetero 
5;   Antioquia   ;5284;Fr?ontino;1395,860021;22049;52,2;Región Eje Cafetero 
5;   Ant%ioq>uia;5306;Gir'al!do ;96,59317478;5988;57,1;Región Eje Cafetero 
5;   Antioquia;5308; G&#irard*ota;79,17874556;56312;39,8;Región Eje Cafetero 
5;   AntioqUia   ;5310;Gó?*'mez Plata;345,119344;10464;42,8;Región Eje Cafetero 
5;   Ant%ioquia;5313;Gra'#?nada;175,7652759;10855;41,2;Región Eje Cafetero 
5; Ant%ioquia ;5315;   Gua&dalupe !*  ;114,572444;7015;59,9;Región Eje Cafetero 
5;   Antioq>Uia   ;5318;Gua&rn'e ;152,6739931;60148;61,4;Región Eje Cafetero 
5;   Antioquia;5321;  * Gu&a?tapé !  ;80,34241449;9072;30,9;Región Eje Cafetero 
5;Antioq>uia;5347; H&eli!con*ia;103,9160715;5754;51,1;Región Eje Cafetero 
5; Antioquia;5353;Hi'#&spania;58,78416212;5876;32,2;Región Eje Cafetero 
5; Antioq>uia ;5360;It!agui &#  ;21,05264798;301428;7,7;Región Eje Cafetero 
5; Antioquia ;5361;Itua#n'go ;2959,605345;29074;68,1;Región Eje Cafetero 
5; Antioq>uia;5364; ?Ja*!r#d'ín;216,0955838;15637;42,2;Región Eje Cafetero 
5; AntioqUia;5368; Jeric?ó ;195,9171391;14576;38,8;Región Eje Cafetero 
5;   Antioq>uia;5376;   La   &Ce'!ja   ;136,3663491;70868;11,6;Región Eje Cafetero 
5; AntioqUia ;5380;   ?La   'Estrella   ;39,832354;78143;12;Región Eje Cafetero 
5;   Ant%ioquia;5390;   La   Pint?ada#   ;53,54083469;8689;9,2;Región Eje Cafetero 
5;   Antioq>uia   ;5400;L!a #  ?Unió&n   ;154,6934089;23240;35;Región Eje Cafetero 
5;   Antioquia;5411;   Libo*#rina;211,2434543;10709;71,6;Región Eje Cafetero 
5; Antioquia ;5425; &?Maceo;376,6310495;8785;56,7;Región Eje Cafetero 
5; Antioq>uia ;5440;Ma*rin?il#la;119,3426165;70392;26,6;Región Eje Cafetero 
5;AntioqUia;5467;M!'on&tebello   ;77,3710562;7062;65,4;Región Eje Cafetero 
5;   Ant%ioquia   ;5475;Mur#indó;1240,51642;5332;59,9;Región Eje Cafetero 
5;Antioq>uia ;5480;M*#utatá ;988,4401838;15148;57,2;Región Eje Cafetero 
5; Ant%ioqUia ;5483;Na*?ri'&!ño;348,3219109;10889;63,1;Región Eje Cafetero 
5; Antioquia;5490;N!e*c#'o?clí;1156,610425;45834;68,1;Región Eje Cafetero 
5; Ant%io>qUia ;5495;Ne!*c#hí;877,7613888;28100;43,8;Región Eje Cafetero 
5;Ant%io>quia ;5501; O!l#&aya;81,79883667;3350;87;Región Eje Cafetero 
5; Ant%io>qUia ;5541; #&Pe'ñol;126,6477425;22736;42,1;Región Eje Cafetero 
5;Antioq>Uia;5543;P?*&e!que;460,6208451;8717;65;Región Eje Cafetero 
5;AntioqUia;5576;   Puebl&orr?i#co;78,93162349;9280;43;Región Eje Cafetero 
5;   AntioqUia   ;5579;  # Pu&er!to   B?er'río;1174,803375;42468;12,8;Región Eje Cafetero 
