DP;Departamento;MPIO;Municipio;Superficie;PopTot;Rural;Region
05;Antioquia;05001;Medellín;350,67;2634570;1,6;Región Eje Cafetero
05;Antioquia;05002;Abejorral;497,57;21622;56,7;Región Eje Cafetero
05;Antioquia;05004;Abriaquí;287,64;2872;64,2;Región Eje Cafetero
05;Antioquia;05021;Alejandría;119,47;4989;40,7;Región Eje Cafetero
05;Antioquia;05030;Amagá;89,25;32628;47,4;Región Eje Cafetero
05;Antioquia;05031;Amalfi;1301,66;28059;39,1;Región Eje Cafetero
05;Antioquia;05034;Andes;367,84;46485;47,6;Región Eje Cafetero
05;Antioquia;05036;Angelópolis;74,2;6183;55,7;Región Eje Cafetero
05;Antioquia;05038;Angostura;355,29;12190;71,8;Región Eje Cafetero
05;Antioquia;05040;Anorí;1462,81;19812;52,2;Región Eje Cafetero
05;Antioquia;05042;Santafé de antioquia;519,22;28246;32,1;Región Eje Cafetero
05;Antioquia;05044;Anza;278,17;7537;76,2;Región Eje Cafetero
05;Antioquia;05045;Apartadó;525,52;132328;14,7;Región Eje Cafetero
05;Antioquia;05051;Arboletes;693,87;32478;61,1;Región Eje Cafetero
05;Antioquia;05055;Argelia;249,95;8075;49;Región Eje Cafetero
05;Antioquia;05059;Armenia;120,72;5450;60,6;Región Eje Cafetero
05;Antioquia;05079;Barbosa;200,15;56505;51,8;Región Eje Cafetero
05;Antioquia;05086;Belmira;269,36;6436;67,5;Región Eje Cafetero
05;Antioquia;05088;Bello;141,12;570329;2,6;Región Eje Cafetero
05;Antioquia;05091;Betania;176,38;10985;59,5;Región Eje Cafetero
05;Antioquia;05093;Betulia;244,03;16722;66,6;Región Eje Cafetero
05;Antioquia;05101;Ciudad bolívar;243,9;27884;35,1;Región Eje Cafetero
05;Antioquia;05107;Briceño;396,48;8599;61,3;Región Eje Cafetero
05;Antioquia;05113;Buriticá;325,59;10105;70,3;Región Eje Cafetero
05;Antioquia;05120;Cáceres;1822,45;31368;75,7;Región Eje Cafetero
05;Antioquia;05125;Caicedo;203,99;8938;74,1;Región Eje Cafetero
05;Antioquia;05129;Caldas;126,72;86667;17,6;Región Eje Cafetero
05;Antioquia;05134;Campamento;209,83;9839;66,4;Región Eje Cafetero
05;Antioquia;05138;Cañasgordas;351,09;16487;61,4;Región Eje Cafetero
05;Antioquia;05142;Caracolí;274,76;4850;35,2;Región Eje Cafetero
05;Antioquia;05145;Caramanta;99,23;4973;48,7;Región Eje Cafetero
05;Antioquia;05147;Carepa;357,48;52540;25,1;Región Eje Cafetero
05;Antioquia;05148;El carmen de viboral;457,92;64717;37,4;Región Eje Cafetero
05;Antioquia;05150;Carolina;163,53;4242;21,7;Región Eje Cafetero
05;Antioquia;05154;Caucasia;1525,44;98488;10,3;Región Eje Cafetero
05;Antioquia;05172;Chigorodó;685,68;62675;14,2;Región Eje Cafetero
05;Antioquia;05190;Cisneros;46,11;10495;10,9;Región Eje Cafetero
05;Antioquia;05197;Cocorná;233,55;16686;50,8;Región Eje Cafetero
05;Antioquia;05206;Concepción;221,04;5093;52,9;Región Eje Cafetero
05;Antioquia;05209;Concordia;227,15;22905;60,1;Región Eje Cafetero
05;Antioquia;05212;Copacabana;66,86;84787;16,6;Región Eje Cafetero
05;Antioquia;05234;Dabeiba;1996,03;24765;55,7;Región Eje Cafetero
05;Antioquia;05237;Don matías;214,54;20498;31,4;Región Eje Cafetero
05;Antioquia;05240;Ebéjico;249,31;12914;75,5;Región Eje Cafetero
05;Antioquia;05250;El bagre;1648,64;56681;32,2;Región Eje Cafetero
05;Antioquia;05264;Entrerrios;193,71;12158;44;Región Eje Cafetero
05;Antioquia;05266;Envigado;79,05;250012;3;Región Eje Cafetero
05;Antioquia;05282;Fredonia;232,95;26163;61,9;Región Eje Cafetero
05;Antioquia;05284;Frontino;1395,86;22049;52,2;Región Eje Cafetero
05;Antioquia;05306;Giraldo;96,59;5988;57,1;Región Eje Cafetero
05;Antioquia;05308;Girardota;79,18;56312;39,8;Región Eje Cafetero
05;Antioquia;05310;Gómez plata;345,12;10464;42,8;Región Eje Cafetero
05;Antioquia;05313;Granada;175,77;10855;41,2;Región Eje Cafetero
05;Antioquia;05315;Guadalupe;114,57;7015;59,9;Región Eje Cafetero
05;Antioquia;05318;Guarne;152,67;60148;61,4;Región Eje Cafetero
05;Antioquia;05321;Guatapé;80,34;9072;30,9;Región Eje Cafetero
05;Antioquia;05347;Heliconia;103,92;5754;51,1;Región Eje Cafetero
05;Antioquia;05353;Hispania;58,78;5876;32,2;Región Eje Cafetero
05;Antioquia;05360;Itagui;21,05;301428;7,7;Región Eje Cafetero
05;Antioquia;05361;Ituango;2959,61;29074;68,1;Región Eje Cafetero
05;Antioquia;05364;Jardín;216,1;15637;42,2;Región Eje Cafetero
05;Antioquia;05368;Jericó;195,92;14576;38,8;Región Eje Cafetero
05;Antioquia;05376;La ceja;136,37;70868;11,6;Región Eje Cafetero
05;Antioquia;05380;La estrella;39,83;78143;12;Región Eje Cafetero
05;Antioquia;05390;La pintada;53,54;8689;9,2;Región Eje Cafetero
05;Antioquia;05400;La unión;154,69;23240;35;Región Eje Cafetero
05;Antioquia;05411;Liborina;211,24;10709;71,6;Región Eje Cafetero
05;Antioquia;05425;Maceo;376,63;8785;56,7;Región Eje Cafetero
05;Antioquia;05440;Marinilla;119,34;70392;26,6;Región Eje Cafetero
05;Antioquia;05467;Montebello;77,37;7062;65,4;Región Eje Cafetero
05;Antioquia;05475;Murindó;1240,52;5332;59,9;Región Eje Cafetero
05;Antioquia;05480;Mutatá;988,44;15148;57,2;Región Eje Cafetero
05;Antioquia;05483;Nariño;348,32;10889;63,1;Región Eje Cafetero
05;Antioquia;05490;Necoclí;1156,61;45834;68,1;Región Eje Cafetero
05;Antioquia;05495;Nechí;877,76;28100;43,8;Región Eje Cafetero
